LkID,LaneID,LaneType,Approach,Lng1,Lat1,Lng2,Lat2
12PSF06T3G0,12PSE06T3LA12PSB06T3HA010011,右转,北进口,814206.3412,2507399.242,814210.2785,2507399.907
12PSF06T3G0,12PSB06T4V012PSF06T3G0090012,直行,北进口,814219.5022,2507399.533,814222.9948,2507399.533
12PSF06T3G0,12PSB06T4V012PSF06T3G0090011,左转,北进口,814222.9948,2507398.055,814226.4641,2507399.822
12PSF06T3G0,12PSK06T3HA12PSG06T3JA010011,右转,东进口,814253.5395,2507389,814249.9178,2507393.988
12PSF06T3G0,12PT206T3H012PSF06T3G0090014,直行,东进口,814248.9508,2507385.6,814249.2482,2507385.6
12PSF06T3G0,12PT206T3H012PSF06T3G0090013,直行,东进口,814249.2482,2507382.192,814249.5431,2507382.192
12PSF06T3G0,12PT206T3H012PSF06T3G0090012,直行,东进口,814249.5431,2507378.891,814249.8372,2507378.891
12PSF06T3G0,12PT206T3H012PSF06T3G0090011,左转,东进口,814249.8372,2507350.282,814250.115,2507375.497
12PSF06T3G0,12PSH06T2U012PSF06T3G0090012,直右,南进口,814241.2995,2507350.316,814237.4741,2507350.316
12PSF06T3G0,12PSH06T2U012PSF06T3G0090011,直左,南进口,814237.4741,2507353.642,814234.1,2507350.346
12PSF06T3G0,12PS706T3GA12PSG06T3CA010011,右转,西进口,814212.2749,2507361.473,814215.614,2507357.934
12PSF06T3G0,12PRJ06T3I012PSF06T3G0090014,直行,西进口,814213.7691,2507364.94,814213.2848,2507364.94
12PSF06T3G0,12PRJ06T3I012PSF06T3G0090013,直行,西进口,814213.2848,2507368.29,814212.8167,2507368.29
12PSF06T3G0,12PRJ06T3I012PSF06T3G0090012,直左,西进口,814212.8167,2507371.484,814212.3703,2507371.484
12PSF06T3G0,12PRJ06T3I012PSF06T3G0090011,左转,西进口,814212.3703,2507398.194,814211.8767,2507374.872
12PSF06T3G0,12PSF06T3G012PSB06T4V0010011,直行,北出口,814230.2143,2507398.408,814233.7144,2507398.408
12PSF06T3G0,12PSF06T3G012PSB06T4V0010012,直行,北出口,814233.7144,2507398.055,814237.1855,2507399.041
12PSF06T3G0,12PSK06T3HA12PSG06T3JA090011,直行,北出口,814253.5395,2507373.2,814249.9178,2507393.988
12PSF06T3G0,12PSF06T3G012PTO06T3G0010011,直行,东出口,814248.4441,2507369.612,814248.5724,2507369.612
12PSF06T3G0,12PSF06T3G012PTO06T3G0010012,直行,东出口,814248.5724,2507366.008,814248.3074,2507366.008
12PSF06T3G0,12PSF06T3G012PTO06T3G0010013,直行,东出口,814248.3074,2507348.21,814248.5273,2507362.34
12PSF06T3G0,12PSG06T3CB12PSJ06T3FA090011,直行,东出口,814248.0579,2507350.346,814244.0756,2507351.812
12PSF06T3G0,12PSF06T3G012PSH06T2U0010011,直行,南出口,814234.1,2507350.381,814230.1531,2507350.381
12PSF06T3G0,12PSF06T3G012PSH06T2U0010012,直行,南出口,814230.1531,2507353.642,814226.7292,2507350.457
12PSF06T3G0,12PS706T3GA12PSG06T3CA090011,直行,南出口,814212.2749,2507377.134,814215.614,2507357.934
12PSF06T3G0,12PSF06T3G012PRJ06T3I0010011,直行,西出口,814212.9767,2507380.708,814212.6735,2507380.708
12PSF06T3G0,12PSF06T3G012PRJ06T3I0010012,直行,西出口,814212.6735,2507384.181,814211.9483,2507384.181
12PSF06T3G0,12PSF06T3G012PRJ06T3I0010013,直行,西出口,814211.9483,2507403.671,814211.3744,2507387.744
12PSF06T3G0,12PSE06T3LA12PSB06T3HA090011,直行,西出口,814206.3412,2507376.376,814210.2785,2507399.907
